,price,numBathrooms,Status,house_size_SF,n_beds,BHK_RK,building_type
4703,301101,4,Unfurnished,5896,4,BHK,IndependentFloor
4704,301012,4,Unfurnished,5896,4,BHK,IndependentFloor
4705,301012,4,Unfurnished,5896,4,BHK,IndependentFloor
4706,150000,3,Furnished,1953,3,BHK,Apartment
4707,24000,2,Semi-Furnished,1000,2,BHK,Apartment
4708,32000,2,Semi-Furnished,1300,3,BHK,Apartment
4709,20000,2,Semi-Furnished,900,2,BHK,Apartment
4710,24000,2,Semi-Furnished,900,2,BHK,Apartment
4711,22000,2,Semi-Furnished,900,2,BHK,Apartment
4712,30000,2,Semi-Furnished,1230,3,BHK,Apartment
4713,38000,2,Semi-Furnished,1200,3,BHK,Apartment
4714,31000,2,Semi-Furnished,1200,3,BHK,Apartment
4715,1010102,4,Unfurnished,5896,4,BHK,Villa
4716,1220102,4,Unfurnished,5896,4,BHK,Villa
4717,1401101,4,Unfurnished,5896,4,BHK,Villa
4718,1418181,4,Unfurnished,5896,5,BHK,Villa
4719,301101,3,Unfurnished,2856,3,BHK,IndependentFloor
4720,504105,3,Unfurnished,2856,3,BHK,IndependentFloor
4721,310102,3,Unfurnished,2856,3,BHK,IndependentFloor
4722,301102,3,Unfurnished,2856,3,BHK,IndependentFloor
4723,301101,3,Unfurnished,2856,3,BHK,IndependentFloor
4724,504105,3,Unfurnished,2856,3,BHK,IndependentFloor
4725,301102,3,Unfurnished,2856,3,BHK,IndependentFloor
4726,301101,3,Unfurnished,2856,3,BHK,IndependentFloor
4727,13000,2,Unfurnished,700,2,BHK,IndependentFloor
4728,401102,4,Unfurnished,6521,5,BHK,IndependentFloor
4729,401012,4,Unfurnished,6521,5,BHK,IndependentFloor
4730,541114,4,Unfurnished,6251,5,BHK,IndependentFloor
4731,301012,4,Unfurnished,5896,4,BHK,IndependentFloor
4732,301011,4,Unfurnished,6251,4,BHK,IndependentFloor
4733,235925,3,Unfurnished,2856,3,BHK,IndependentFloor
4734,401014,4,Unfurnished,6521,5,BHK,IndependentHouse
4735,804014,4,Unfurnished,6521,4,BHK,Villa
4736,640101,4,Unfurnished,6521,5,BHK,Villa
4737,540101,4,Unfurnished,4462,4,BHK,Villa
4738,301011,3,Unfurnished,2856,3,BHK,IndependentFloor
4739,301011,3,Unfurnished,2856,3,BHK,IndependentFloor
4740,301012,3,Unfurnished,2856,3,BHK,IndependentFloor
4741,235592,3,Unfurnished,2846,3,BHK,IndependentFloor
4742,1549191,4,Unfurnished,6521,5,BHK,IndependentHouse
4743,1848415,5,Unfurnished,6251,5,BHK,IndependentHouse
4744,1548181,4,Unfurnished,6521,5,BHK,Villa
4745,1282181,4,Unfurnished,5562,4,BHK,Villa
4746,374945,4,Unfurnished,5896,4,BHK,IndependentFloor
4747,284948,4,Unfurnished,5569,4,BHK,IndependentFloor
4748,301022,4,Unfurnished,5562,4,BHK,IndependentFloor
4749,546195,4,Unfurnished,6251,5,BHK,Villa
4750,401015,4,Unfurnished,6251,5,BHK,IndependentHouse
4751,564195,4,Unfurnished,5896,5,BHK,IndependentHouse
4752,546191,4,Unfurnished,5569,5,BHK,Villa
4753,652555,4,Unfurnished,6251,5,BHK,Villa
4754,546195,4,Unfurnished,5569,4,BHK,IndependentHouse
